,Title,Price,MRP,Discount,Reviews
61,Skore Duo Max - Premium Condoms for Him and Her | Dotted & Ribbed with Disposal Pouches |1 Pack (10 pieces),225.0,22.5,-900.0,4.0
62,Skore Nothing Thinnest Pleasure Condoms | Flavored Chocolate & Strawberry | With Disposal Pouches| Pack of 2 | 10's each,249.0,12.45,-1900.0000000000005,4.2
63,Durex Extra Dotted Condoms for Men - 10 Count (Pack of 3) | Ribbed and Dotted Condoms,702.0,23.4,-2900.0000000000005,4.3
64,Skyn Elite Ultra Thin and Ultra Soft Non Latex Condoms for men - Pack of 12 count|Feel Everything|Latex Free,484.0,40.33,-1100.099181750558,4.3
65,"Manforce Combo, Lubricated Flavoured Condoms for Men | 40 pcs | Chocolate, Strawberry, Black Grapes, Melon & Mint | Indiaâ€™s No. 1* Condom Brand for Safe Sex",414.0,10.35,-3900.0,4.2
66,Durex Close Fit Invisible Condoms for Men - 3s | Ultra Thin Condom,154.0,51.33,-200.01948178453145,3.9
67,Lubex 6 in 1 Extra Time Condoms - Long Lasting with Disposable Bags - Ultra Thin & Extra Dotted - Natural Unflavoured - 12 Condom (Pack of 1),189.0,15.75,-1100.0,3.9
68,Durex Extra Thin Condoms for Men - 10 Count (Pack of 3),708.0,23.6,-2899.9999999999995,4.3
69,KamaSutra Long Last Condom - 20 Pieces (Pack of 3),444.0,7.4,-5900.0,4.1
70,"KamaSutra Mango Pleasure Flavored Condoms, Fun of Flavors for Men & Women, Dotted for Extra Stimulation, Clear, 10 Count",81.0,8.1,-900.0000000000002,3.9
71,Durex Extra Time Condoms for Men - 10 Count (Pack of 3),575.0,19.17,-2899.4783515910276,4.2
72,Bold Care 404 Super Nano Thin Lubricated Condoms For Men With Disposable Pouches | 50 Microns | 10 Units | Close Fit With A Barely There Feel | Transparent Extra Thin Condom,129.0,12.9,-900.0,4.0
73,Durex Air Condoms for Men - 10 Count (Pack of 3),575.0,19.17,-2899.4783515910276,4.3
74,"Bold Care Mutual Pleasure Dotted (576 Dots), Ribbed & D-LAY Condoms (Pack of 10) | Ultra thin with benzocaine & menthol lubrication | 60 Microns | Comes with Disposable pouch | Gold Standard Latex",199.0,199.0,0.0,4.0
75,Manforce Epic ThinX | 0.03mm Ultra Thin Condoms for High Sensitivity | 3 Pcs,125.0,41.67,-199.9760019198464,4.2
76,OKAMOTO Japanâ€™s Best Crown Condoms | Ultra thin Condoms | No. 1 in Japan | 2 x 10s,339.0,16.95,-1900.0,4.2
77,"Bleu Spiral Toxin Free Condoms for Men - Unique Shaped head (first in India) for enhanced stimulation, improved experience, vegan & odourless , Pack of 2 (16 Count)",295.0,18.44,-1499.7830802603034,3.8
78,Okamoto Crown Condom | Japans Best Condoms For Men | Ultra Thin Condoms For Male | (Pack Of 4).,569.0,14.23,-3898.594518622628,3.8
79,KAMA SUTRA Dotted Condom (100 Condoms),666.0,6.66,-9900.0,3.8
80,"NOTTY BOY Multi Variety Condoms Combo - 3-In-One Ribbed Contoured Dotted, Super 1500 Dots, OverTime Climax Delay, Ultra Thin Condom For Men- Pack Of 4, 40 Count",287.0,7.18,-3897.214484679666,4.1
81,"NOTTY BOY Honeymoon Condoms Package- Ribbed, Long Lasting, Extra Lubricated, Dotted, Ultra Thin Strawberry Flavoured and Anatomical Shape Condoms - Pack of 50",339.0,6.78,-4900.0,4.9
82,Okamoto Skinless Skin Condoms For Men - Ultra Thin (6 x 10s),555.0,9.25,-5900.0,4.3
83,Okamoto Crown Condom | Ultra Thin Condoms for Male | Super Thin & Super Soft Condom(Pack of 1),195.0,19.5,-900.0,3.8
